ID,Project Status,Building Name,Planning Approval Street Number,Planning Approval Street Name,Mapping Address,Section 415 Declaration of Intent,Tenure,Total Units in Building or Phase,Total Units Subject to Section 415,Total BMRs in this Building or Phase,Total BMRs On-Site,Total BMRs Off-Site,Off-Site Units at this Site,Principal Project Address,Off-Site Address,Planning Approval Date,Completion Date,Neighborhood,Planning Neighborhood,Supervisor District,Plan Area,Location
301,First Construction Document Issued,832 Sutter Street,832,Sutter Street,"832 Sutter St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,20,20,2,2,0,0,,,02/27/2014,,Nob Hill,Downtown/Civic Center,3,,"832 Sutter St
San Francisco, CA 94109
(37.788527, -122.414168)"
255,Completed,899 Valencia Street,899,Valencia Street,"899 Valencia St, San Francisco, CA, 94110",Fee Payment ,Unknown,18,18,0,0,0,0,,,05/26/2011,05/04/2015,Mission,Mission,9,Mission (Eastern Neighborhoods),"899 Valencia St
San Francisco, CA 94110
(37.758502, -122.421277)"
140,Completed,Millennium Tower,301,Mission Street,"301 Mission St, San Francisco, CA, 94105",Off-site BMR Project,Ownership,419,419,0,0,81,0,,125 Mason Street (81 rental units),04/21/2005,01/01/2009,Financial District,Financial District,6,Downtown,"301 Mission St
San Francisco, CA 94105
(37.790753, -122.396321)"
302,Completed,Sapphire,248/252,09th Street,"248 9th St, San Francisco, CA, 94103",Fee Payment ,Ownership,15,15,0,0,0,0,,,02/27/2014,10/14/2015,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"248 9th St
San Francisco, CA 94103
(37.77439, -122.412422)"
56,Completed,Sierra Heights,639,Missouri Street (aka 25 Sierra),"639 Missouri St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,67,67,7,7,0,0,,,07/12/2001,01/01/2006,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"639 Missouri St
San Francisco, CA 94107
(37.75791, -122.396069)"
196,Completed,3500 19th Street,3500,19th Street,"3500 19th St, San Francisco, CA, 94110",Fee Payment ,Unknown,17,17,0,0,0,0,,,02/21/2008,10/12/2012,Mission,Mission,8,Mission (Eastern Neighborhoods),"3500 19th St
San Francisco, CA 94110
(37.760097, -122.421748)"
327,Building Permit Issued,800 Indiana,800,Indiana Street,"800 Indiana St, San Francisco, CA, 94107",Fee Payment ,Unknown,326,326,0,0,0,0,,,01/08/2015,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"800 Indiana St
San Francisco, CA 94107
(37.759264, -122.391322)"
88,Completed,The Lansing ,40-50,Lansing (aka 50 Lansing or 40 Lansing),"40 Lansing St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,82,82,10,10,0,0,,,05/01/2003,07/28/2006,Financial District,South of Market,6,Rincon Hill,"40 Lansing St
San Francisco, CA 94105
(37.786152, -122.393844)"
363,Entitled/Approved,1395 22nd,1395,22nd Street,"1395 22nd St, San Francisco, CA 94110",Fee Payment ,Unknown,250,250,0,0,0,0,,,12/03/2015,,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1395 22nd St
San Francisco, CA 94110
(37.757592, -122.394602)"
96,Completed,The Potrero,450,Rhode Island (aka 450 Kansas),"450 Rhode Island St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,165,165,20,20,0,0,,,08/21/2003,10/29/2007,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"450 Rhode Island St
San Francisco, CA 94107
(37.764136, -122.402518)"
151,Completed,310 Townsend,310,Townsend Street,"310 Townsend St, San Francisco, CA, 94107",Fee Payment ,Ownership,45,45,0,0,0,0,,,07/14/2005,03/23/2007,South of Market,South of Market,6,Central SoMa,"310 Townsend St
San Francisco, CA 94107
(37.776708, -122.395481)"
54,Completed,Chelsea Park,3620,19th Street,"3620 19th St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,39,39,5,5,0,0,,,04/05/2001,11/05/2008,Mission,Mission,8,,"3620 19th St
San Francisco, CA 94110
(37.759929, -122.424286)"
138,Completed,566 South Van Ness Avenue,566,South Van Ness Avenue,"566 South Van Ness Ave, San Francisco, CA, 94110",On-site BMR Project ,Ownership,34,34,4,4,0,0,,,03/03/2005,08/28/2007,Mission,Mission,9,Mission (Eastern Neighborhoods),"566 South Van Ness Ave
San Francisco, CA 94110
(37.764036, -122.417371)"
347,Entitled/Approved,101 Hyde Street,101,Hyde Street,"101 Hyde St, San Francisco, CA, 94102",On-site BMR Project ,Rental,85,85,10,10,0,0,,,06/11/2015,,Tenderloin,Downtown/Civic Center,6,Downtown,"101 Hyde St
San Francisco, CA 94102
(37.781873, -122.415561)"
241,Completed,1645 Pacific Avenue,1645,Pacific Avenue ,"1645 Pacific Ave, San Francisco, CA, 94109",Combination Project,Ownership,39,39,5,5,0,0,,,11/04/2010,06/04/2014,Russian Hill,Nob Hill,3,Van Ness Corridor,"1645 Pacific Ave
San Francisco, CA 94109
(37.794921, -122.422381)"
71,Completed,1630 California ,1630,California Street,"1630 California St, San Francisco, CA, 94109",Fee Payment ,Ownership,40,40,0,0,0,0,,,05/16/2002,01/01/2008,Nob Hill,Nob Hill,3,,"1630 California St
San Francisco, CA 94109
(37.790499, -122.421292)"
39,Completed,Village at Petrini Place ,2001,McAllister Street ,"2001 McAllister St, San Francisco, CA, 94117",On-site BMR Project ,Ownership,134,134,13,13,0,0,,,03/25/1999,01/01/2004,Lone Mountain/USF,Western Addition,5,,"2001 McAllister St
San Francisco, CA 94117
(37.776854, -122.445752)"
317,Building Permit Issued,1527-45 Pine,1527-45,Pine Street ,"1527 Pine St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,103,103,12,12,0,0,,,10/02/2014,,Nob Hill,Nob Hill,3,Van Ness Corridor,"1527 Pine St
San Francisco, CA 94109
(37.789564, -122.420935)"
267,First Construction Document Issued,307 Octavia,307,Octavia Blvd,"307 Octavia St, San Francisco, CA, 94102",Fee Payment ,Rental,182,182,0,0,0,0,,,06/28/2012,,Hayes Valley,Western Addition,5,Market and Octavia,"307 Octavia St
San Francisco, CA 94102
(37.775225, -122.424373)"
378,Entitled/Approved,1699 Market ,1699,Market Street,"1699 Market St, San Francisco, CA 94103",Fee Payment ,Unknown,160,160,0,0,0,0,,,03/24/2016,,Mission,South of Market,6,Market and Octavia,"1699 Market St
San Francisco, CA 94103
(37.772691, -122.422222)"
172,First Construction Document Issued,340 Fremont,340-350 ,Fremont Street ,"340 Fremont St, San Francisco, CA, 94105",Fee Payment ,Unknown,348,348,0,0,0,0,,,06/08/2006,,Financial District,South of Market,6,Rincon Hill,"340 Fremont St
San Francisco, CA 94105
(37.787495, -122.392989)"
111,Completed,2655 Van Ness Avenue,2655,Van Ness Avenue,"2655 Van Ness Ave, San Francisco, CA, 94123",Fee Payment ,Ownership,29,29,0,0,0,0,,,06/03/2004,12/17/2007,Marina,Marina,2,Van Ness Corridor,"2655 Van Ness Ave
San Francisco, CA 94123
(37.800156, -122.424379)"
119,Completed,Book Concern Building,83 - 91,McAllister Street ,"83 McAllister St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,60,60,6,6,0,0,,,08/12/2004,02/01/2007,Tenderloin,Downtown/Civic Center,6,Civic Center,"83 McAllister St
San Francisco, CA 94102
(37.780968, -122.413306)"
129,Completed,Northpoint Apartments,2351,Powell Street ,"2351 Powell St, San Francisco, CA, 94133",On-site BMR Project ,Rental,72,72,9,9,0,0,,,12/09/2004,09/01/2006,North Beach,North Beach,3,Northeast Waterfront,"2351 Powell St
San Francisco, CA 94133
(37.806072, -122.412013)"
68,Completed,1828 Geneva,1828,Geneva Avenue,"1828 Geneva Ave, San Francisco, CA, 94134",On-site BMR Project ,Rental,48,48,6,6,0,0,,,01/10/2002,06/24/2008,Excelsior,Crocker Amazon,11,,"1828 Geneva Ave
San Francisco, CA 94134
(37.709731, -122.424133)"
244,Completed,38 Dolores,2001,Market Street,"2001 Market St, San Francisco, CA, 94114",Fee Payment ,Unknown,81,81,0,0,0,0,,,12/16/2010,10/22/2013,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"2001 Market St
San Francisco, CA 94114
(37.768651, -122.427347)"
261,Completed,Gantry,2121,03rd Street,"740 Illinois St, San Francisco, CA, 94107",On-site BMR Project ,Rental,105,105,18,18,0,0,,,09/08/2011,09/12/2014,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"740 Illinois St
San Francisco, CA 94107
(37.762709, -122.387777)"
296,Completed,1001 17th Street (aka 140 Pennsylvania Avenue),1001,17th Street ,"1001 17th St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,37,37,5,5,0,0,,,09/26/2013,02/01/2016,Potrero Hill,Potrero Hill,10,Showplace Square/Potrero Hill (Eastern Neighborhoods),"1001 17th St
San Francisco, CA 94107
(37.765306, -122.394151)"
51,Completed,1311 43rd Avenue ,1131,43rd Avenue,"1311 43rd Ave, San Francisco, CA, 94122",On-site BMR Project ,Rental,12,12,1,1,0,0,,,09/27/2000,01/01/2004,Sunset/Parkside,Outer Sunset,4,,"1311 43rd Ave
San Francisco, CA 94122
(37.762141, -122.502814)"
240,Completed,2559 Van Ness Avenue & 1527 Filbert Street,2559,Van Ness Avenue,"2559 Van Ness Ave, San Francisco, CA, 94123",Fee Payment ,Unknown,27,27,0,0,0,0,,,10/07/2010,10/06/2014,Marina,Marina,2,Van Ness Corridor,"2559 Van Ness Ave
San Francisco, CA 94123
(37.799261, -122.424195)"
189,Completed,BaySide Vista,2011,Bayshore Blvd. ,"2011 Bay Shore Blvd, San Francisco, CA, 94134",On-site BMR Project ,Ownership,64,64,6,6,0,0,,,05/09/2007,12/04/2009,Bayview Hunters Point,Visitacion Valley,10,,"2011 Bay Shore Blvd
San Francisco, CA 94134
(37.714774, -122.399088)"
47,Completed,6900 Geary,6900,Geary Blvd. (aka 499 33rd Ave.),"6900 Geary Blvd, San Francisco, CA, 94121",On-site BMR Project ,Rental,17,17,2,2,0,0,,,01/27/2000,01/01/2004,Outer Richmond,Outer Richmond,1,,"6900 Geary Blvd
San Francisco, CA 94121
(37.779735, -122.493645)"
349,Entitled/Approved,1546-1564 Market Street & 55 Oak,1546-1564,Market Street,"1546 Market St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,109,109,13,13,0,0,,,06/25/2015,,Mission,South of Market,6,Downtown,"1546 Market St
San Francisco, CA 94102
(37.774756, -122.419763)"
329,Entitled/Approved,"100 Van Ness Avenue, Phase II",100,Van Ness Avenue,"100 Van Ness Ave, San Francisco, CA, 94102",On-site BMR Project ,Rental,18,18,2,2,0,0,,,01/14/2015,,Tenderloin,Downtown/Civic Center,6,Downtown,"100 Van Ness Ave
San Francisco, CA 94102
(37.776651, -122.419485)"
37,Completed,Providence,1701,19th Avenue,"1701 19th Ave, San Francisco, CA, 94122",On-site BMR Project ,Ownership,81,81,8,8,0,0,,,01/21/1999,01/01/2001,Sunset/Parkside,Outer Sunset,4,,"1701 19th Ave
San Francisco, CA 94122
(37.755983, -122.476611)"
11,Completed,81 Lansing,81,Lansing Street ,"81 Lansing St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,33,33,3,3,0,0,,,04/14/1994,01/01/2002,Financial District,South of Market,6,Rincon Hill,"81 Lansing St
San Francisco, CA 94105
(37.785874, -122.394198)"
364,Entitled/Approved,240 Pacific,240,Pacific Avenue ,"240 Pacific Ave, San Francisco, CA 94111",Fee Payment ,Unknown,33,33,0,0,0,0,,,12/10/2015,,Financial District,Financial District,3,Northeast Waterfront,"240 Pacific Ave
San Francisco, CA 94111
(37.797718, -122.40043)"
276,First Construction Document Issued,350 8th Street,350,08th Street,"350 8th St, San Francisco, CA, 94103",On-site BMR Project ,Rental,416,416,62,62,0,0,,,12/06/2012,,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"350 8th St
San Francisco, CA 94103
(37.774285, -122.409208)"
370,Entitled/Approved,2238-2254 Market,2238,Market Street,"2238 Market St, San Francisco, CA 94114",On-site BMR Project ,Rental,45,45,5,5,0,0,,,02/11/2016,,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"2238 Market St
San Francisco, CA 94114
(37.765244, -122.431915)"
125,Completed,829 Folsom,829,Folsom Street,"829 Folsom St, San Francisco, CA, 94107",Fee Payment ,Unknown,69,69,0,0,0,0,,,10/21/2004,02/05/2009,South of Market,South of Market,6,Central SoMa,"829 Folsom St
San Francisco, CA 94107
(37.781461, -122.401892)"
67,Completed,77 Van Ness Avenue,77,Van Ness Avenue,"77 South Van Ness Ave, San Francisco, CA, 94103",On-site BMR Project ,Ownership,50,50,6,6,0,0,,,01/10/2002,08/25/2009,Mission,South of Market,6,Downtown,"77 South Van Ness Ave
San Francisco, CA 94103
(37.773778, -122.418802)"
234,Completed,Mosso,260,05th Street,"260 5th St, San Francisco, CA, 94103",On-site BMR Project ,Rental,182,182,27,27,0,0,,,05/20/2010,06/18/2014,South of Market,South of Market,6,Central SoMa,"260 5th St
San Francisco, CA 94103
(37.780754, -122.404011)"
127,Completed,The Royal,201,Sansome Street,"201 Sansome St, San Francisco, CA, 94104",On-site BMR Project ,Ownership,46,46,5,5,0,0,,,11/18/2004,01/01/2006,Financial District,Financial District,3,Downtown,"201 Sansome St
San Francisco, CA 94104
(37.792306, -122.400999)"
124,Completed,Shipley Square,821,Folsom Street,"821 Folsom St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,78,78,8,8,0,0,,,10/21/2004,01/01/2004,South of Market,South of Market,6,Central SoMa,"821 Folsom St
San Francisco, CA 94107
(37.78169, -122.401601)"
181,Completed,75 Moss Street,75,Moss Street,"75 Moss St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,01/01/2007,01/31/2008,South of Market,South of Market,6,East SoMa (Eastern Neighborhoods),"75 Moss St
San Francisco, CA 94103
(37.777446, -122.407665)"
153,Completed,"One Rincon, Phase II ",1,Rincon Hill (aka 425 First/401Harrison St),"401 Harrison St, San Francisco, CA, 94105",Fee Payment ,Unknown,298,298,0,0,0,0,,,08/04/2005,07/30/2014,Financial District,South of Market,6,Rincon Hill,"401 Harrison St
San Francisco, CA 94105
(37.786587, -122.392281)"
48,Completed,The Valencia @ 17th (AKA 601 Valencia),3371,17th Street ,"3371 17th St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,25,25,2,2,0,0,,,04/27/2000,01/01/2003,Mission,Mission,9,Mission (Eastern Neighborhoods),"3371 17th St
San Francisco, CA 94110
(37.763347, -122.421078)"
194,Completed,2829 California,2829,California  Street,"2829 California St, San Francisco, CA, 94115",On-site BMR Project ,Ownership,13,13,2,2,0,0,,,01/17/2008,11/30/2012,Pacific Heights,Western Addition,2,,"2829 California St
San Francisco, CA 94115
(37.787992, -122.441029)"
9,Completed,Portola Place,2601,"Newhall, Armstrong, Orsi, Williams, Lydia, Bitting, Kalmanovitz","2601 Newhall St, San Francisco, CA, 94124",On-site BMR Project ,Ownership,259,259,24,24,0,0,,,08/27/1992,01/01/1996,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"2601 Newhall St
San Francisco, CA 94124
(37.729328, -122.397923)"
269,Completed,"100 Van Ness Avenue, Phase I",100,Van Ness Avenue,"100 Van Ness Ave, San Francisco, CA, 94102",On-site BMR Project ,Rental,400,400,48,48,0,0,,,02/07/2013,01/26/2015,Tenderloin,Downtown/Civic Center,6,Downtown,"100 Van Ness Ave
San Francisco, CA 94102
(37.776651, -122.419485)"
306,Building Permit Issued,1201-1225 Tennessee,1201-1225,Tennessee Street,"1201 Tennessee St, San Francisco, CA, 94107",On-site BMR Project ,Rental,259,259,34,34,0,0,,,05/01/2014,,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"1201 Tennessee St
San Francisco, CA 94107
(37.75635, -122.389129)"
366,Entitled/Approved,1598 Bay,1598,Bay Street,"1598 Bay St, San Francisco, CA 94123",Fee Payment ,Unknown,28,28,0,0,0,0,,,12/17/2015,,Marina,Marina,2,,"1598 Bay St
San Francisco, CA 94123
(37.803104, -122.432994)"
321,Building Permit Issued,690 Page,690,Page Street,"690 Page St, San Francisco, CA, 94117",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,11/13/2014,,Hayes Valley,Western Addition,5,,"690 Page St
San Francisco, CA 94117
(37.772874, -122.431998)"
116,Completed,Millwheel North ,1275-1301,Indiana Street ,"1275 Indiana St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,39,39,5,5,0,0,,,07/01/2004,08/01/2014,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"1275 Indiana St
San Francisco, CA 94107
(37.754335, -122.390835)"
80,Completed,1635 California,1635,California  Street,"1635 California St, San Francisco, CA, 94109",Off-site BMR Project,Ownership,36,36,0,0,6,0,,2428 Bayshore Blvd. (6 of 12 ownership units) ,01/16/2003,01/01/2006,Nob Hill,Nob Hill,3,Van Ness Corridor,"1635 California St
San Francisco, CA 94109
(37.790487, -122.421382)"
300,First Construction Document Issued,270-280 Brighton,270-280 ,Brighton Street,"270 Brighton Ave, San Francisco, CA, 94112",On-site BMR Project ,Rental,29,29,3,3,0,0,,,02/07/2014,,Oceanview/Merced/Ingleside,Ocean View,7,Balboa Park,"270 Brighton Ave
San Francisco, CA 94112
(37.72331, -122.455148)"
227,First Construction Document Issued,1415 Mission Street,1415,Mission Street,"1415 Mission St, San Francisco, CA, 94103",On-site BMR Project ,Rental,117,117,18,18,0,0,,,11/12/2009,,South of Market,South of Market,6,Downtown,"1415 Mission St
San Francisco, CA 94103
(37.775137, -122.4161)"
258,Completed,AVA 55 9th ,55,09th Street,"55 9th St, San Francisco, CA, 94103",On-site BMR Project ,Rental,273,273,33,33,0,0,,,06/23/2011,10/14/2014,South of Market,South of Market,6,Downtown,"55 9th St
San Francisco, CA 94103
(37.776757, -122.41539)"
169,Completed,723 Taylor Street,723,Taylor Street,"723 Taylor St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,05/04/2006,10/08/2010,Nob Hill,Downtown/Civic Center,3,Downtown,"723 Taylor St
San Francisco, CA 94109
(37.789241, -122.412004)"
22,Completed,St. Paul's Commons,317,29th Street,"317 29th St, San Francisco, CA, 94131",On-site BMR Project ,Ownership,36,36,4,4,0,0,,,12/12/1996,01/01/1999,Noe Valley,Noe Valley,8,,"317 29th St
San Francisco, CA 94131
(37.74365, -122.427493)"
174,Completed,"Trinity Plaza Apartments, Phase II",1167,Market Street,"1167 Market St, San Francisco, CA, 94103",On-site BMR Project ,Rental,418,418,63,63,0,0,,,08/03/2006,10/03/2013,South of Market,South of Market,6,Downtown,"1167 Market St
San Francisco, CA 94103
(37.779444, -122.413831)"
304,First Construction Document Issued,2198 Market ,2198,Market Street,"2198 Market St, San Francisco, CA, 94114",On-site BMR Project ,Rental,87,87,10,10,0,0,,,04/24/2014,,Castro/Upper Market,Castro/Upper Market,8,Market and Octavia,"2198 Market St
San Francisco, CA 94114
(37.76632, -122.430584)"
69,Completed,222 Valencia Street ,222,Valencia Street ,"222 Valencia St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,10,10,1,1,0,0,,,02/07/2002,01/01/2003,Mission,Mission,8,Market and Octavia,"222 Valencia St
San Francisco, CA 94103
(37.769462, -122.422338)"
205,Completed,Potrero Launch,2235,03rd Street,"2235 3rd St, San Francisco, CA, 94107",On-site BMR Project ,Rental,196,196,39,39,0,0,,,08/14/2008,09/27/2012,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"2235 3rd St
San Francisco, CA 94107
(37.761097, -122.388519)"
107,Completed,Ritz Carlton,690,Market Street ,"690 Market St, San Francisco, CA, 94104",Off-site BMR Project,Ownership,52,52,0,0,11,0,,938-942 Market Street (13 of 24 ownership units) ,03/08/2004,11/30/2007,Financial District,Financial District,3,Downtown,"690 Market St
San Francisco, CA 94104
(37.787985, -122.403027)"
46,Completed,2900 22nd Street,2900,22nd Street,"2900 22nd St, San Francisco, CA, 94110",Fee Payment ,Unknown,14,14,0,0,0,0,,,01/01/2000,01/01/2003,Mission,Mission,9,Mission (Eastern Neighborhoods),"2900 22nd St
San Francisco, CA 94110
(37.755841, -122.412471)"
62,Completed,True Hope Square ,950,Gilman Street ,"950 Gilman Ave, San Francisco, CA, 94124",Units for Off-site Project,Ownership,20,0,20,0,0,20,300 Spear Street (Infinity),,12/20/2001,01/01/2007,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"950 Gilman Ave
San Francisco, CA 94124
(37.717696, -122.387157)"
77,Completed,"Candlestick Point - The Cove, Phase I",1 & 101,Crescent Way ,"101 Crescent Way, San Francisco, CA, 94134",On-site BMR Project ,Ownership,128,128,14,14,0,0,,,12/22/2002,01/01/2001,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"101 Crescent Way
San Francisco, CA 94134
(37.711186, -122.389336)"
6,Completed,Haight Street Lofts,645,Haight Street,"645 Haight St, San Francisco, CA, 94117",On-site BMR Project ,Ownership,20,20,3,3,0,0,,,02/06/1992,01/01/1995,Haight Ashbury,Western Addition,5,,"645 Haight St
San Francisco, CA 94117
(37.771799, -122.432863)"
297,First Construction Document Issued,1601 Larkin Street,1601,Larkin Street,"1601 Larkin St, San Francisco, CA, 94109",Fee Payment ,Unknown,27,27,0,0,0,0,,,10/03/2013,,Russian Hill,Nob Hill,3,,"1601 Larkin St
San Francisco, CA 94109
(37.792839, -122.419463)"
2,Completed,100 Diana,100,Diana Street,"331 Thornton Ave, San Francisco, CA, 94124",On-site BMR Project ,Ownership,18,18,3,3,0,0,,,03/14/1991,01/01/1996,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"331 Thornton Ave
San Francisco, CA 94124
(37.731239, -122.396235)"
257,Building Permit Issued,1255-1275 Columbus,1255-1275 ,Columbus Avenue,"1255 Columbus Ave, San Francisco, CA, 94133",Fee Payment ,Unknown,20,20,0,0,0,0,,,06/08/2011,,Russian Hill,Russian Hill,2,Northeast Waterfront,"1255 Columbus Ave
San Francisco, CA 94133
(37.805787, -122.418112)"
108,Completed,Candlestick Heights,833-881,Jamestown Avenue,"833 Jamestown Ave, San Francisco, CA, 94124",Units for Off-site Project,Rental,196,0,19,0,0,19,800 Brotherhood Way ,,03/25/2004,03/17/2014,Bayview Hunters Point,Bayview,10,Bayview Hunters Point,"833 Jamestown Ave
San Francisco, CA 94124
(37.717683, -122.391997)"
376,Entitled/Approved,1066 Market ,1066,Market Street,"1066 Market St, San Francisco, CA 94102",On-site BMR Project ,Rental,304,304,37,37,0,0,,,03/17/2016,,Tenderloin,Downtown/Civic Center,6,Downtown,"1066 Market St
San Francisco, CA 94102
(37.781344, -122.411428)"
285,Entitled/Approved,1731 Powell Street,1731,Powell Street ,"1731 Powell St, San Francisco, CA, 94133",Fee Payment ,Unknown,19,19,0,0,0,0,,,02/14/2013,,Chinatown,Russian Hill,3,,"1731 Powell St
San Francisco, CA 94133
(37.800738, -122.410912)"
238,Completed,411 Valencia Street,411,Valencia Street ,"411 Valencia St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,16,16,2,2,0,0,,,08/11/2010,11/01/2012,Mission,Mission,9,Mission (Eastern Neighborhoods),"411 Valencia St
San Francisco, CA 94103
(37.766248, -122.422017)"
326,Building Permit Issued,1140 Folsom,1140,Folsom Street,"1140 Folsom St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,112,112,13,13,0,0,,,12/18/2014,,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"1140 Folsom St
San Francisco, CA 94103
(37.776021, -122.408773)"
112,Completed,8 McLea Court,8,McLea Court,"8 McLea Ct, San Francisco, CA, 94103",On-site BMR Project ,Rental,102,102,3,3,0,0,,,06/17/2004,03/07/2007,South of Market,South of Market,6,Western SoMa (Eastern Neighborhoods),"8 McLea Ct
San Francisco, CA 94103
(37.772258, -122.408425)"
16,Completed,2900 Sloat Blvd.,2900,Sloat (aka Wawona) Blvd. ,"2900 Sloat Blvd, San Francisco, CA, 94116",On-site BMR Project ,Ownership,60,60,6,6,0,0,,,05/11/1995,01/01/1996,Sunset/Parkside,Parkside,4,Western Shoreline,"2900 Sloat Blvd
San Francisco, CA 94116
(37.735573, -122.505507)"
130,Completed,77 Bluxome,77,Bluxome Street ,"77 Bluxome St, San Francisco, CA, 94107",On-site BMR Project ,Rental,102,102,10,10,0,0,,,12/15/2004,12/17/2007,South of Market,South of Market,6,Central SoMa,"77 Bluxome St
San Francisco, CA 94107
(37.77651, -122.397296)"
388,Entitled/Approved,3701 Noriega St,3701,Noriega Street,"3701 Noriega St, San Francisco, CA 94122",Fee Payment,Unknown,12,12,0,0,0,0,,,05/12/2016,,Sunset/Parkside,Outer Sunset,4,,"3701 Noriega St
San Francisco, CA 94122
(37.753048, -122.503586)"
214,Completed,1946 Polk Street,1946,Polk Street (AKA 1591 or 1596 Pacific),"1946 Polk St, San Francisco, CA, 94109",Fee Payment ,Unknown,41,41,0,0,0,0,,,02/20/2009,05/23/2013,Russian Hill,Nob Hill,3,,"1946 Polk St
San Francisco, CA 94109
(37.794716, -122.421525)"
308,First Construction Document Issued,1634-1690 Pine,1634-1690,Pine Street ,"1634 Pine St, San Francisco, CA, 94109",On-site BMR Project ,Ownership,261,261,31,31,0,0,,,05/15/2014,,Western Addition,Western Addition,2,Van Ness Corridor,"1634 Pine St
San Francisco, CA 94109
(37.78932, -122.422911)"
367,Entitled/Approved,950 Gough,950,Gough Street,"950 Gough St, San Francisco, CA 94102",On-site BMR Project ,Ownership,95,95,11,11,0,0,,,01/07/2016,,Western Addition,Downtown/Civic Center,5,,"950 Gough St
San Francisco, CA 94102
(37.782178, -122.424046)"
242,Completed,2652 Harrison Street,2652,Harrison Street,"2652 Harrison St, San Francisco, CA, 94110",Fee Payment ,Ownership,20,20,0,0,0,0,,,12/06/2010,10/18/2013,Mission,Mission,9,Mission (Eastern Neighborhoods),"2652 Harrison St
San Francisco, CA 94110
(37.755129, -122.412147)"
27,Completed,388 Beale ,388,Beale Street,"388 Beale St, San Francisco, CA, 94105",On-site BMR Project ,Rental,23,23,23,23,0,0,,,09/18/1997,01/01/2003,Financial District,South of Market,6,Rincon Hill,"388 Beale St
San Francisco, CA 94105
(37.787844, -122.391651)"
59,Completed,2200 Mission Street,2200,Mission Street,"2200 Mission St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,23,23,3,3,0,0,,,10/18/2001,01/20/2009,Mission,Mission,9,Mission (Eastern Neighborhoods),"2200 Mission St
San Francisco, CA 94110
(37.761832, -122.419356)"
